name,id,script,desc,icon,order
Urbanized Polity,urbanized_polity,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"A dense and cosmopolitan center of population, people of all walks of life live, work, and die in the stacked hab-complexes, commercial concourses, and modular workshops. Decreased food production, increased demand for domestic, luxury and vice goods.",graphics/icons/markets/urbanized_polity.png,130
Rural Polity,rural_polity,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion. Increased food production. Reduced demand for domestic, luxury and vice goods.",graphics/icons/markets/rural_polity.png,130
Large Refugee Population,large_refugee_population,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions.",graphics/icons/markets/refugee_population.png,140
Antimatter Fuel Production Facility,antimatter_fuel_production,com.fs.starfarer.api.impl.campaign.econ.FuelProduction,"A massive Domain-tech facility produces starship fuel, the life-blood of intersteller civilization. Requires a supply of volatiles, organics, and rare metals to operate. Requires heavy machinery to replace failing components.",graphics/icons/markets/am_fuel_facility.png,500
Ore Mining Complex,ore_complex,com.fs.starfarer.api.impl.campaign.econ.OreMiningComplex,"Infrastructure, equipment, and the skilled workforce to extract common metal and metalloid ores. Requires heavy machinery to replace worn equipment.",graphics/icons/markets/ore_mining.png,140
Volatiles Mining Complex,volatiles_complex,com.fs.starfarer.api.impl.campaign.econ.VolatilesMiningComplex,"Infrastructure, equipment, and the skilled workforce to extract volatile gases and ices. Requires heavy machinery to replace worn equipment.",graphics/icons/markets/volatiles_mining.png,150
Organics Mining Complex,organics_complex,com.fs.starfarer.api.impl.campaign.econ.OrganicsMiningComplex,"Infrastructure, special equipment, and skilled workforce to extract organics from biological or non-biological sources. Requires heavy machinery to replace worn equipment.",graphics/icons/markets/organics_mining.png,160
Ore Refining Complex,ore_refining_complex,com.fs.starfarer.api.impl.campaign.econ.OreRefiningComplex,"Smelting plants here convert ores and transplutonic ores into metals and transplutonics, respectively.",graphics/icons/markets/ore_refining_complex.png,200
Aquaculture,aquaculture,com.fs.starfarer.api.impl.campaign.econ.Aquaculture,"Farming on a water world requires a significant initial investment in bioengineering suitable species, but once the process takes off, algae farms and fisheries can be operated by the population without requiring much in the way of specialized training or equipment.",graphics/icons/markets/aquaculture.png,135
Volturnian Lobster Pens,volturnian_lobster_pens,com.fs.starfarer.api.impl.campaign.econ.VolturnianLobster,A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional.,graphics/icons/markets/lobster_pens.png,137
Light Industrial Complex,light_industrial_complex,com.fs.starfarer.api.impl.campaign.econ.LightIndustrialComplex,"Produces domestic and luxury goods. Production requires organics and volatiles, as well as heavy machinery to replace failing components.",graphics/icons/markets/light_industrial.png,250
Autofactory - Heavy Industrial Blueprints,autofac_heavy_industry,com.fs.starfarer.api.impl.campaign.econ.AutofacHeavyIndustry,An operational autofactory with loaded blueprints for all types of heavy industrial equipment.,graphics/icons/markets/autofactory.png,300
Military Base,military_base,com.fs.starfarer.api.impl.campaign.econ.MilitaryBase,"Requires supplies, fuel, hand weapons, and machinery. There's some turnover in personnel, resulting in a trickle of trained crew and marines available for hire.

Increases the quality and number of officers in $market's fleets.",graphics/icons/markets/military_base.png,350
Vice Demand,vice_demand,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,The demand for vice goods is unusually high here.,graphics/icons/markets/vice_demand.png,145
Organized Crime,organized_crime,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Criminal activity produces drugs and harvested organs. Increases demand for hand weapons (by both various crime bosses and local citizenry) and marines (by the local authorities).,graphics/icons/markets/organized_crime.png,148
Frontier,frontier,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Far from the cosmopolitan centers of population, mere survival, self-reliance, and only-the-necessities are the rules of the frontier. Increased demand for weapons and supplies, reduced demand for luxury goods.",graphics/icons/markets/frontier.png,130
Volatiles Depot,volatiles_depot,com.fs.starfarer.api.impl.campaign.econ.VolatilesDepot,A massive facility for the storage and processing of volatiles.,graphics/icons/markets/volatiles_depot.png,155
Cryosanctum,cryosanctum,com.fs.starfarer.api.impl.campaign.econ.Cryosanctum,"An enormous tomb-like vault built to store those who choose to risk cryosleep to pass this time of troubles to wake in what will presumably be a more civilized age. The cryopods themselves are insignificant in size compared to the many-times redundant support infrastructure, massive automated security systems and anti-ship batteries, all housed in a branching subsurface fortress-labyrinth.",graphics/icons/markets/cryosanctum.png,310
Shipbreaking Center,shipbreaking_center,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"A major center of shipbreaking in this region of the Sector, hulks are consigned to scrapping here by the navies of major factions and many other clients from among the Sector core worlds.",graphics/icons/markets/shipbreaking.png,360
Trade Center,trade_center,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"A major center of trade, merchant vessels from across the Sector dock here expecting to find a buyer for their goods- and to find something to buy in turn for a nice profit.",graphics/icons/markets/trade_center.png,280
Decivilized,decivilized,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"There is no stable ruling polity here. Civilization is collapsed and current population is effectively unknown, though groups of survivors, bandits, and looters can be detected.",graphics/icons/markets/decivilized.png,130
Abandoned Station,abandoned_station,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,This station is abandoned.,graphics/icons/markets/abandoned.png,130
Cottage Industry,cottage_industry,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$market has a substantial base of low-technology, labour-intensive light industry. Increases demand for simple organic fuels and materials, provides an inefficient albeit charmingly hand-crafted supply of domestic goods.",graphics/icons/markets/cottage_industry.png,230
Outpost,outpost,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$market is run much like a garrison or a large spaceship, with a rigid official command structure. This improves stability, but does require some personnel to see to internal security matters.",graphics/icons/markets/outpost.png,130
Luddic Majority,luddic_majority,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,"Stability is improved if $market is controlled by a Luddic faction, otherwise it is reduced. The ascetic ethos of Luddic theology reduces demand for luxury goods.",graphics/icons/markets/luddic_majority.png,142
Stealth Minefields,stealth_minefields,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,A network of hidden mines provides $market security from meddlesome outsiders. Improves stability.,graphics/icons/markets/stealth_mines.png,510
Regional Capital,regional_capital,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"A major center of administration, security, and logistics. Improves stability.",graphics/icons/markets/capital.png,500
Free Port,free_market,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"The local port authority imposes almost no regulation on what cargo is traded. Removes negative stability impact from smuggling.

Does not require the transponder to be turned on for open trade.",graphics/icons/markets/free_port.png,141
,,,,,
Uninhabitable World,uninhabitable,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"A barren planet, the surface of $market can not support organic life as we know it, and farming is impossible outside of sealed artificial ecosystems.",graphics/icons/markets/uninhabitable_wide.png,10
Ice World,ice,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"$market's average temperature is far below the freezing point of water and some common terran atmospheric gases fall as snow. The drifts and glaciers of light, volatile elements may be harvested.",graphics/icons/markets/ice_world_wide.png,10
Desert World,desert,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$market: desert planet. A xerophile biosphere maintains an atmosphere breathable with only a light mask. Farming is nearly impossible.,graphics/icons/markets/desert_world_wide.png,10
Arid World,arid,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$market is covered by vast, dry plains and wastes. Water is uncommon and large-scale farming is difficult.",graphics/icons/markets/arid_world_wide.png,10
Water World,water,com.fs.starfarer.api.impl.campaign.econ.WorldWater,The climate of $market is hospitable but farming is limited largely to aquaculture and highly specialized infrastructure is required for any development of habitats and industry.,graphics/icons/markets/water_world_wide.png,10
Jungle World,jungle,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$market is a wet, warm jungle world covered in riotous vegetation and exotic lifeforms, making farming and maintaining permanent infrastructure difficult.",graphics/icons/markets/jungle_world_wide.png,10
Terran World,terran,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$market is as close to Old Earth's condition as can be found in the Sector, providing ideal conditions for farming and settlement.",graphics/icons/markets/terran_world_wide.png,10
Barren-marginal World,barren_marginal,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inhospitable and unforgiving, outside conditions on $market are barely survivable to a human with an air mask and protective equipment, though certain engineered terraforming lichens find it tolerable enough.",graphics/icons/markets/barren_desert_wide.png,10
Twilight World,twilight,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Tidally locked to its primary, or near enough, $market is a terraformed world with days the length of seasons. Day/night temperature variation is accordingly harsh even to engineered terran life. Islands of 'civilized' mild biomes are maintained through judicious use of solar shades and mirrors. ",graphics/icons/markets/twilight_terran_world.png,10
Tundra World,tundra,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"Terraforming has brought terran life to $market but the world remains as cold as the deepest of Earth's ice ages. Though millions of square kilometers are covered in glacier, there are also taiga provinces and rolling steppe where warmer conditions prevail.",graphics/icons/markets/tundra_terran_wide.png,10
Cryovolcanic World,cryovolcanic,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"A world frozen beyond deepest chill, methane snow falls on mountains of water-ice and volcanos erupt with ammonia. Stellar radiation breaks down the volatiles to form an atmosphere of light gases such as nitrogen and oxygen while hydrogen is whisked into space. ",graphics/icons/markets/cryo_world_wide.png,10
,,,,,
Orbital Station,orbital_station,com.fs.starfarer.api.impl.campaign.econ.OrbitalStation,"A large artificial spacestation with zero-g factories, spacedocks, and a rotating habitat to provide gravity to living spaces. Increases demand for fuel and crew.

Increases the number of officers in $market's fleets.",graphics/icons/markets/orbital_station.png,130
Spaceport,spaceport,com.fs.starfarer.api.impl.campaign.econ.Spaceport,"Facilities for loading, unloading, repairing, and sometimes even rebuilding large spaceships. Increases demand for fuel and crew.

Increases the number of officers in $market's fleets.",graphics/icons/markets/spaceport.png,275
Dissident Population,dissident,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$market is a dumping-ground for dissidents, rebels, free-thinkers, artists, and other troublemakers. Increases demand for weapons and marines to police the rabble. Increases availability of crew due to emigration.",graphics/icons/markets/dissidents.png,139
Orbital Burns,orbital_burns,com.fs.starfarer.api.impl.campaign.econ.OrbitalBurns,"Periodic burns from space-based lasers or solar lenses push back the encroaching jungle, leaving plains of rich ash and bone that make for excellent farmland.",graphics/icons/markets/orbital_burns.png,150
Headquarters,headquarters,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$market is a center of military command and logistical operation for the ruling polity. Increases market stability.

Increases the quality and number of officers in $market's fleets.",graphics/icons/markets/headquarters.png,360
Hydroponics Complex,hydroponics_complex,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Sealed-biosphere agricultural production facilities which allow farming in orbit or on the surface of inhospitable worlds. Requires crew to operate, organic growth medium, and heavy machinery for upkeep.",graphics/icons/markets/hydroponics.png,120
,,,,,
Population,population_1,com.fs.starfarer.api.impl.campaign.econ.Population,Only tens of people live here permanently.,graphics/icons/markets/population01.png,20
Population,population_2,com.fs.starfarer.api.impl.campaign.econ.Population,Mere hundreds of people populate $market.,graphics/icons/markets/population02.png,20
Population,population_3,com.fs.starfarer.api.impl.campaign.econ.Population,Thousands of people call $market home.,graphics/icons/markets/population03.png,20
Population,population_4,com.fs.starfarer.api.impl.campaign.econ.Population,Tens of thousands of people live on $market.,graphics/icons/markets/population04.png,20
