id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Leave,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",An autonomous warning beacon has been left emitting a distorted wail between official channels. Whatever message it was meant to convey has been corrupted.,beaconLeave:Leave,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""",beaconLeave:Leave,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""",beaconLeave:Leave,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""",beaconLeave:Leave,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon
","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous warning beacon emits a looping message.

""This world is corrupted by technological sin and its abomination stands testament to the result of straying from the path of virtue. Trespass is forbidden; any who scorns this warning shall become both corrupt of body and outlaw by the holy justice enforced by this order of the Knights of Ludd.""",beaconLeave:Leave,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
PrintDescription 1
AddText ""The gate is inert.""
SetShortcut gateLeave ""ESCAPE""",,"gateFlyThrough:Fly through the gate
gateLeave:Leave",
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"AddText ""Your order your $shipOrFleet to traverse the dead gateway. Your bridge crew is especially quiet during the passage.""
AddText ""Nothing happens.""
SetShortcut gateLeave ""ESCAPE""",,gateLeave:Leave,
gateLeave,DialogOptionSelected,$option == gateLeave,DismissDialog,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Leave,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Leave,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
# comm relay interactions,,,,,,
commRelayOpen,OpenInteractionDialog,$tag:comm_relay,"ShowDefaultVisual
FireBest InitCommRelayDialog",,,
commRelayNonFunctional,InitCommRelayDialog,$commRelayNonFunctional,,"Your $shipOrFleet approaches the $relayName. An irreplaceable piece of Domain technology, the relay enables rapid communication between star systems.

This one, however, is not connected to the Sector-wide network and is not emitting the hyperwave radiation typically indicative of relay operation. The cause of its lack of function is unknown.",100:crLeave:Leave,
commRelayInit,InitCommRelayDialog,$tag:comm_relay,"$menuState = main 0
#SetTextHighlightColors buttonText ""255,0,0,255""
#SetTextHighlights $shipOrFleet $relayName irreplaceable technology
FireAll PopulateOptions","Your $shipOrFleet approaches the $relayName. An irreplaceable piece of Domain technology, the relay enables rapid communication between star systems.",,
commRelayInitSnifferInstalled,InitCommRelayDialog,"$tag:comm_relay
$global.csFinished","InstallCommSniffer
MakePlayerImmediatelyAttackable
BroadcastCancelPlayerAction 1500 $respondingToCommRelayInterference
$menuState = main 0
FireAll PopulateOptions","The installation finished successfully, and the comm sniffer sends back a test data stream to confirm it's functioning properly.",,
commRelayInitSnifferInterupted,InitCommRelayDialog,"$tag:comm_relay
$global.csInterrupted","unset $global.csInterrupted
$menuState = main 0
FireAll PopulateOptions",Your attempt to install a comm sniffer was interrupted.,,
commRelayInitSnifferInProgress,InitCommRelayDialog,"$tag:comm_relay
$global.csInProgress
!$global.csInterrupted
!$global.csFinished",,You're currently installing a comm sniffer on this relay.,"csAbort:Abort the installation
csContinue:Continue",
commRelayInitSnifferAbort,DialogOptionSelected,$option==csAbort,"AbortWait $global.csWait
$menuState = main 0
FireAll PopulateOptions",The installation is cancelled.,,
commRelayInitSnifferContinue,DialogOptionSelected,$option==csContinue,DismissDialog,,,
commRelayAddOptionInstallSniffer,PopulateOptions,"$tag:comm_relay
$menuState == main
!$commSnifferInstalled
$faction.id != neutral","#SetTooltip csInstall ""Install a comm sniffer on this relay.""
#SetTooltipHighlightColors csInstall buttonText
#SetTooltipHighlights csInstall ""comm sniffer""
#SetShortcut csInstall ""I"" true
#SetEnabled csInstall true
#AddSelector ""-1"" $global.testSelector ""Test selector"" ""255,0,0,255"" 0 200",,"0:csInstall:Install a comm sniffer
",
commRelaySaySnifferRunning,PopulateOptions,"$tag:comm_relay
$menuState == main
$commSnifferInstalled
!$saidCommSnifferRunning",$saidCommSnifferRunning = true 0,You've got a comm sniffer running on this relay.,,
commRelayAddOptionUninstallSniffer,PopulateOptions,"$tag:comm_relay
$menuState == main
$commSnifferInstalled
",,,0:csUninstall:Uninstall the comm sniffer,
,,,,,,
commRelayAddOptionLeave,PopulateOptions,"$tag:comm_relay
$menuState == main","SetShortcut crLeave ""ESCAPE""",,100:crLeave:Leave,
,,,,,,
commRelayInstallSniffer,DialogOptionSelected,"$tag:comm_relay
$option == csInstall",,"You consider uploading a comm sniffer program onto this comm relay to keep a close eye on what's happening in the area. It'll take about half a day to make sure it's installed and reporting properly, and if you're caught in the act, $theOwnerFaction $factionIsOrAre not going to be happy. It might also be detected at some point in the future, and there's a chance it could be traced back to you.","csiProceed:Proceed
csiNevermind:Never mind",
commRelayInstallSnifferProceed,DialogOptionSelected,"$tag:comm_relay
$option == csiProceed","Wait $global.csWait 0.5 $global.csFinished $global.csInterrupted $global.csInProgress ""Installing comm sniffer...""
BroadcastPlayerWaitAction $global.csWait HOSTILE 750 $respondingToCommRelayInterference
MakePlayerImmediatelyAttackable",,,
commRelayInstallSnifferNevermind,DialogOptionSelected,"$tag:comm_relay
$option == csiNevermind","$menuState = main 0
FireAll PopulateOptions",,,
commRelayUninstallSniffer,DialogOptionSelected,"$tag:comm_relay
$option == csUninstall",,"Uninstalling the comm sniffer is as simple as sending a shutdown code. You can do so quickly and easily, and don't have to stay in proximity of the relay to do so.","csuProceed:Proceed
csuNevermind:Never mind",
commRelayUninstallSnifferProceed,DialogOptionSelected,"$tag:comm_relay
$option == csuProceed","UninstallCommSniffer
unset $commSnifferInstalled
$menuState = main 0
FireAll PopulateOptions","You send the signal, and shortly receive confirmation that the sniffer is no longer functioning.",,
commRelayUninstallSnifferNevermind,DialogOptionSelected,"$tag:comm_relay
$option == csuNevermind","$menuState = main 0
FireAll PopulateOptions",,,
commRelayLeave,DialogOptionSelected,"$tag:comm_relay
$option == crLeave",DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#dialogTopLevelMenuOptions,PopulateOptions,$menuState == fleetConvMain,,,"#demand:Demand...
#offer:Offer...
#ask about:Ask about...
cutCommLink:Cut the comm link",
,,,,,,
# comm relay interference dialogue,,,,,,
dialogCutCommLink_byOther,DialogOptionSelected,$option == continueCutComm,"ShowDefaultVisual
EndConversation",,,
dialogCommLinkIgnore_1,OpenCommLink,$entity.ignorePlayerCommRequests score:1000,EndConversation DO_NOT_FIRE,"You try to open a comm link, but receive no answer.",,
dialogHegRelayInterference_start,BeginFleetEncounter,"!$sniffer_didAlready
$respondingToCommRelayInterference score:100
$global.csInProgress","$sniffer_didAlready = true 0
AbortWait $global.csWait
MakeOtherFleetPreventDisengage sniffer true
unset $ignorePlayerCommRequests
$timesSawPlayerInterferingWithRelay++
BroadcastCancelPlayerAction 1500 $respondingToCommRelayInterference
AddText ""A quick jammer burst interrupts your connection with the comm relay.""
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
OpenComms",,,
dialogHegRelayInterference_cancelledAndRan,BeginFleetEncounter,"!$sniffer_didAlready
$respondingToCommRelayInterference score:100","$sniffer_didAlready = true 0
MakeOtherFleetPreventDisengage sniffer true
unset $ignorePlayerCommRequests
$timesSawPlayerInterferingWithRelay++
BroadcastCancelPlayerAction 1500 $respondingToCommRelayInterference
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
OpenComms",,,
dialogHegRelayInterference_open1,OpenCommLink,"$entity.respondingToCommRelayInterference score:100
$entity.timesSawPlayerInterferingWithRelay <= 1
!$entity.isHostile","$warnedPlayerAboutRelayInterference = true 1
AdjustRep $faction.id CAUGHT_INSTALLING_SNIFFER","""Interfering with the proper functioning of a comm relay is against the law. Don't let me see you trying that again.""","crWarningUnderstood:""Understood.""
cutCommLink:Cut the comm link",
dialogHegRelayInterference_open2,OpenCommLink,"$warnedPlayerAboutRelayInterference score:10
$playerAcknowledgedRelayInterferenceWarning
$entity.timesSawPlayerInterferingWithRelay <= 1",$entity.ignorePlayerCommRequests = true 1,"""You'd better get out of here before I change my mind.""",cutCommLink:Cut the comm link,
dialogHegRelayInterference_openHostile,OpenCommLink,"$entity.respondingToCommRelayInterference score:100
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""This is the last time you're going to interfere with $faction assets."" The comm link is cut before you can begin to respond.",continueCutComm:Continue,
dialogHegRelayInterference_openWarnedBefore,OpenCommLink,"$entity.respondingToCommRelayInterference score:100
$entity.timesSawPlayerInterferingWithRelay > 1",$entity.ignorePlayerCommRequests = true 1,"""I've already told you not to mess with $faction hardware. Maybe this'll reinforce the message.""

The comm link is cut before you can begin to respond.",continueCutComm:Continue,
dialogHegRelayInterference_understood,DialogOptionSelected,"$entity.respondingToCommRelayInterference score:100
$option == crWarningUnderstood","$playerAcknowledgedRelayInterferenceWarning = true 1
MakeOtherFleetPreventDisengage sniffer false
unset $entity.respondingToCommRelayInterference
unset $entity.core_fleetBusy
$menuState = fleetConvMain 0
FireAll PopulateOptions","$PersonRank $personName seems slightly mollified by your acquiescence. You're not sure whether this has anything to do with $hisOrHer decision not to engage your $shipOrFleet, but get the feeling that it was a close call either way.",,
dialogHegRelayInterference_cut_1,DialogOptionSelected,"$entity.respondingToCommRelayInterference score:100
!$playerAcknowledgedRelayInterferenceWarning
$option == cutCommLink","$entity.ignorePlayerCommRequests = true 1
unset $entity.respondingToCommRelayInterference
unset $entity.core_fleetBusy
MakeOtherFleetHostile sniffer true
ShowDefaultVisual
EndConversation","You cut the comm link without acknowledging $PersonRank $personName's words. As $hisOrHer $otherShipOrFleet maintains an aggressive posture, that may not have been the best means of obtaining a peaceful resolution.",,
,,,,,,
# survey interactions,,,,,,
