name,id,tier,rarity,tags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Accelerated Shields,advancedshieldemitter,0,,"defensive, shields",3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,Increases the turn rate of the ship's shields by %s percent and the rate at which the shields are raised by %s percent.,Increases shield turn rate and extension speed.,graphics/hullmods/accelerated_shields.png
Advanced Optics,advancedoptics,2,,offensive,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"Extends the range of beam weapons by %s su, but reduces their turn rate by %s percent. Cumulative with Integrated Targeting Unit.",Increases beam weapon range.,graphics/hullmods/advanced_optics.png
Advanced Turret Gyros,turretgyros,0,,defensive,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,Increases the turn rate of all turrets by %s percent.,Increases turret turn rate.,graphics/hullmods/advanced_turret_gyros.png
Armored Weapon Mounts,armoredweapons,0,,defensive,2500,,,,3,6,9,15,data.hullmods.ArmoredWeapons,"Increases the durability of all weapons by %s percent, but decreases their turn rate by %s percent. Also increases the ship's armor by %s percent.",Makes weapons harder to disable.,graphics/hullmods/armored_weapon_emplacements.png
Augmented Drive Field,augmentedengines,3,,engines,8000,,,,5,8,15,20,data.hullmods.AugmentedEngines,"Increases the maximum burn level by %s. The higher drive emissions interfere with sensor operation, reducing their strength by %s percent, and also increase the ship's sensor profile by %s percent.","Increases maximum burn level, penalty to sensors.",graphics/hullmods/augmented_engines.png
Automated Repair Unit,autorepair,2,,"engines, defensive",7500,,,,5,10,15,25,data.hullmods.AutomatedRepairUnit,"Reduces the time required to repair disabled weapons and engines (in combat) by %s percent.

Also increases the combat readiness recovery and repair rates by %s percent. The per-day supply consumption for CR recovery is increased to account for the increased recovery rate, but the total supply cost remains the same.",Increases weapon repair rate in combat.,graphics/hullmods/automated_repair_unit.png
Auxiliary Thrusters,auxiliarythrusters,1,,engines,5000,TRUE,,,5,10,15,25,data.hullmods.AuxiliaryThrusters,Increases the ship's maneuverability by %s percent.,Increases maneuverability.,graphics/hullmods/auxilliary_thrusters.png
Blast Doors,blast_doors,0,,defensive,2500,TRUE,,,5,10,15,25,data.hullmods.BlastDoors,"Installs additional hermetic and heavily reinforced doors at critical junctures throughout the ship. Increases hull integrity by %s.

Ship takes %s fewer crew casualties from hull damage sustained in combat.","Increases hull integrity, reduces crew casualties.",graphics/hullmods/blast_doors.png
Converted Hangar,converted_hangar,1,,special,5000,,,,0,10,15,20,data.hullmods.ConvertedHangar,"Converts the ship's standard shuttle hangar to house an improvised fighter bay. This makeshift bay takes longer to launch replacement fighters (%s for destroyers, %s for cruisers, %s for capital ships), and is incapable of quickly relaunching returning fighters.

Increases the minimum crew required by %s to account for pilots and bay crews.

Can not be installed on frigates, phase ships, or ships that already have proper fighter bays.",Improvised fighter bay for non-carriers.,graphics/hullmods/converted_hangar.png
Dedicated Targeting Core,dedicated_targeting_core,0,,offensive,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"Increases the range of ballistic and energy weapons by %s/%s percent for cruisers/capital ships.

Can not be installed on a frigate or a destroyer, and can not work in conjunction with Integrated Targeting Unit.

Most combat ships install either an Integrated Targeting Unit or a Dedicated Targeting Core, with the exception of more specialized variants.","Increases weapon range, more so for larger ships.",graphics/hullmods/targeting_core.png
